reading_id,meter_id,reading_date,reading_value
,M1078,2025-09-01,346.82
,M1079,2025-06-01,187.78
,M1079,2025-07-01,210.66
,M1079,2025-08-01,236.49
,M1079,2025-09-01,254.62
,M1080,2025-06-01,201.97
,M1080,2025-07-01,218.11
,M1080,2025-08-01,238.05
,M1080,2025-09-01,255.27
,M1081,2025-06-01,360.45
,M1081,2025-07-01,382.02
,M1081,2025-08-01,395.11
,M1081,2025-09-01,425.66
,M1082,2025-06-01,461.16
,M1082,2025-07-01,471.88
,M1082,2025-08-01,496.83
,M1082,2025-09-01,519.58
,M1083,2025-06-01,142.62
,M1083,2025-07-01,164.39
,M1083,2025-08-01,182.31
,M1083,2025-09-01,194.93
,M1084,2025-06-01,310.69
,M1084,2025-07-01,324.63
,M1084,2025-08-01,348.48
,M1084,2025-09-01,365.6
,M1085,2025-06-01,261.53
,M1085,2025-07-01,277.6
,M1085,2025-08-01,298.08
,M1085,2025-09-01,312.7
,M1086,2025-06-01,486.78
,M1086,2025-07-01,506.25
,M1086,2025-08-01,525.72
,M1086,2025-09-01,540.67
,M1087,2025-06-01,399.73
,M1087,2025-07-01,419.13
,M1087,2025-08-01,428.44
,M1087,2025-09-01,437.99
,M1088,2025-06-01,320.05
,M1088,2025-07-01,336.77
,M1088,2025-08-01,356.64
,M1088,2025-09-01,383.49
,M1089,2025-06-01,173.02
,M1089,2025-07-01,190.06
,M1089,2025-08-01,207.94
,M1089,2025-09-01,219.93
,M1090,2025-06-01,151.44
,M1090,2025-07-01,167.71
,M1090,2025-08-01,187.64
,M1090,2025-09-01,200.68
,M1091,2025-06-01,185.24
,M1091,2025-07-01,212.44
,M1091,2025-08-01,229.78
,M1091,2025-09-01,250.2
,M1092,2025-06-01,301.87
,M1092,2025-07-01,317.46
,M1092,2025-08-01,336.81
,M1092,2025-09-01,354.88
,M1093,2025-06-01,323.93
,M1093,2025-07-01,337.29
,M1093,2025-08-01,355.44
,M1093,2025-09-01,376.42
,M1094,2025-06-01,459.13
,M1094,2025-07-01,482.88
,M1094,2025-08-01,513.8
,M1094,2025-09-01,527.2
,M1095,2025-06-01,159.92
,M1095,2025-07-01,179.02
,M1095,2025-08-01,210.16
,M1095,2025-09-01,223.31
,M1096,2025-06-01,477.16
,M1096,2025-07-01,491.57
,M1096,2025-08-01,496.82
,M1096,2025-09-01,511.67
,M1097,2025-06-01,440.13
,M1097,2025-07-01,459.03
,M1097,2025-08-01,479.08
,M1097,2025-09-01,508.34
,M1098,2025-06-01,477.55
,M1098,2025-07-01,492.09
,M1098,2025-08-01,504.7
,M1098,2025-09-01,525.65
,M1099,2025-06-01,482.27
,M1099,2025-07-01,511.26
,M1099,2025-08-01,536.33
,M1099,2025-09-01,551.52
,M1100,2025-06-01,273.68
,M1100,2025-07-01,299.8
,M1100,2025-08-01,317.12
,M1100,2025-09-01,342.54
